id	GROUP	ct	SECONDARY	infoline	origin	perturb	lifestage	age	age.units	sex	type	COLOR	category	Project	Donor	name
BSS00001	Cancer	22Rv1	Reproductive	PROSTATE EPITHELIAL CARCINOMA			unknown/mixed	unknown		unknown/mixed	cell line	#000000	Other	ENCODE (New)	ENCDO719HIY	22Rv1
BSS00002	Cancer	22Rv1_treated_with_10_nM_17b-hydroxy-5a-androstan-3-one_for_4_hours	Reproductive	PROSTATE EPITHELIAL CARCINOMA	22Rv1	10_nM_17b-hydroxy-5a-androstan-3-one_for_4_hours	unknown/mixed	unknown		unknown/mixed	cell line	#000000	Other	ENCODE (New)	ENCDO719HIY	22Rv1 treated with 10 nM 17β-hydroxy-5α-androstan-3-one for 4 hours
BSS00003	Cancer	8988T	Pancreas	PANCREAS ADENOCARCINOMA			adult	64	year	female	cell line	#000000	Other	ENCODE (New)	ENCDO000ACP	8988T
BSS00004	Cancer	A172	Brain	GLIOBLASTOMA			adult	53	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO934VEN	A172
BSS00007	Cancer	A549	Lung	LUNG EPITHELIAL CARCINOMA			adult	58	year	male	cell line	#000000	Other	ENCODE 2012	ENCDO000AAZ	A549
BSS00013	Cancer	A549_treated_with_0.02pct_ethanol_for_1_hour	Lung	LUNG EPITHELIAL CARCINOMA	A549	0.02pct_ethanol_for_1_hour	adult	58	year	male	cell line	#000000	Other	ENCODE 2012	ENCDO000AAZ	A549 treated with 0.02% ethanol for 1 hour
BSS00015	Cancer	A549_treated_with_100_nM_dexamethasone_for_1_hour	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_1_hour	adult	58	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 1 hour
BSS00016	Cancer	A549_treated_with_100_nM_dexamethasone_for_10_hours	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_10_hours	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 10 hours
BSS00017	Cancer	A549_treated_with_100_nM_dexamethasone_for_10_minutes	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_10_minutes	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 10 minutes
BSS00018	Cancer	A549_treated_with_100_nM_dexamethasone_for_12_hours	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_12_hours	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 12 hours
BSS00019	Cancer	A549_treated_with_100_nM_dexamethasone_for_15_minutes	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_15_minutes	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 15 minutes
BSS00020	Cancer	A549_treated_with_100_nM_dexamethasone_for_2_hours	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_2_hours	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 2 hours
BSS00021	Cancer	A549_treated_with_100_nM_dexamethasone_for_20_minutes	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_20_minutes	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 20 minutes
BSS00022	Cancer	A549_treated_with_100_nM_dexamethasone_for_25_minutes	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_25_minutes	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 25 minutes
BSS00023	Cancer	A549_treated_with_100_nM_dexamethasone_for_3_hours	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_3_hours	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 3 hours
BSS00024	Cancer	A549_treated_with_100_nM_dexamethasone_for_30_minutes	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_30_minutes	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 30 minutes
BSS00025	Cancer	A549_treated_with_100_nM_dexamethasone_for_4_hours	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_4_hours	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 4 hours
BSS00026	Cancer	A549_treated_with_100_nM_dexamethasone_for_5_hours	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_5_hours	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 5 hours
BSS00027	Cancer	A549_treated_with_100_nM_dexamethasone_for_5_minutes	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_5_minutes	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 5 minutes
BSS00028	Cancer	A549_treated_with_100_nM_dexamethasone_for_6_hours	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_6_hours	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 6 hours
BSS00029	Cancer	A549_treated_with_100_nM_dexamethasone_for_7_hours	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_7_hours	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 7 hours
BSS00030	Cancer	A549_treated_with_100_nM_dexamethasone_for_8_hours	Lung	LUNG EPITHELIAL CARCINOMA	A549	100_nM_dexamethasone_for_8_hours	adult	58	year	male	cell line	#000000	Other	GGR	ENCDO000AAZ	A549 treated with 100 nM dexamethasone for 8 hours
BSS00035	Cancer	A673	Muscle	MUSCLE EWING SARCOMA			child	15	year	female	cell line	#000000	Other	ENCODE (New)	ENCDO027VXA	A673
BSS00036	Cancer	ACC112	Other	ADENOID CYSTIC CARCINOMA			adult	70	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO085ZKK	ACC112
BSS00037	Cancer	ACHN	Kidney	RENAL CELL ADENOCARCINOMA			adult	22	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO627NDO	ACHN
BSS00038	Adipose	adipocyte		ADIPOCYTE			unknown/mixed	unknown	unknown	unknown/mixed	in vitro differentiated cells	#AF5B39	Tissue	ENCODE (New)	ENCDO029QEV	adipocyte
BSS00039	Mesench	adipocyte_originated_from_mesenchymal_stem_cell	Adipose	ADIPOCYTE FROM MSC			adult	41,59	year	female	in vitro differentiated cells	#B65C73	Tissue	Roadmap 2015	ENCDO477HWZ,ENCDO535TMW	adipocyte originated from mesenchymal stem cell
BSS00043	Adipose	adipose_tissue_male_adult_(34_years)		ADIPOSE TISSUE			adult	34	year	male	tissue	#AF5B39	Tissue	Roadmap (New)	ENCDO058AAA	adipose tissue male adult (34 years)
BSS00045	Endocrine	adrenal_gland_embryo_(96_days)		ADRENAL GLAND			embryonic	96	day	unknown/mixed	tissue	#99C1FF	Tissue	Roadmap 2015	ENCDO226BUZ	adrenal gland embryo (96 days)
BSS00046	Endocrine	adrenal_gland_female_adult_(30_years)		ADRENAL GLAND			adult	30	year	female	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO424HVB	adrenal gland female adult (30 years)
BSS00047	Endocrine	adrenal_gland_female_adult_(51_year)		ADRENAL GLAND			adult	51	year	female	tissue	#99C1FF	Tissue	ENCODE (New)	ENCDO271OUW	adrenal gland female adult (51 year)
BSS00048	Endocrine	adrenal_gland_female_adult_(53_years)		ADRENAL GLAND			adult	53	year	female	tissue	#99C1FF	Tissue	ENCODE (New)	ENCDO793LXB	adrenal gland female adult (53 years)
BSS00050	Endocrine	adrenal_gland_female_embryo_(108_days)		ADRENAL GLAND			embryonic	108	day	female	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO012PVK	adrenal gland female embryo (108 days)
BSS00051	Endocrine	adrenal_gland_female_embryo_(113_days)		ADRENAL GLAND			embryonic	113	day	female	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO676JUB	adrenal gland female embryo (113 days)
BSS00052	Endocrine	adrenal_gland_female_embryo_(85_days)		ADRENAL GLAND			embryonic	85	day	female	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO527XLA	adrenal gland female embryo (85 days)
BSS00054	Endocrine	adrenal_gland_male_adult_(34_years)		ADRENAL GLAND			adult	34	year	male	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO058AAA	adrenal gland male adult (34 years)
BSS00055	Endocrine	adrenal_gland_male_adult_(37_years)		ADRENAL GLAND			adult	37	year	male	tissue	#99C1FF	Tissue	ENCODE (New)	ENCDO845WKR	adrenal gland male adult (37 years)
BSS00056	Endocrine	adrenal_gland_male_adult_(54_years)		ADRENAL GLAND			adult	54	year	male	tissue	#99C1FF	Tissue	ENCODE (New)	ENCDO451RUA	adrenal gland male adult (54 years)
BSS00057	Endocrine	adrenal_gland_male_embryo_(101_day)		ADRENAL GLAND			embryonic	101	day	male	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO148CGW	adrenal gland male embryo (101 day)
BSS00058	Endocrine	adrenal_gland_male_embryo_(108_days)		ADRENAL GLAND			embryonic	108	day	male	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO132ASK	adrenal gland male embryo (108 days)
BSS00059	Endocrine	adrenal_gland_male_embryo_(85_days)		ADRENAL GLAND			embryonic	85	day	male	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO355UBP	adrenal gland male embryo (85 days)
BSS00060	Endocrine	adrenal_gland_male_embryo_(97_days)		ADRENAL GLAND			embryonic	97	day	male	tissue	#99C1FF	Tissue	Roadmap 2015	ENCDO826VAK	adrenal gland male embryo (97 days)
BSS00061	Stromal	AG04449		SKIN FIBROBLAST			embryonic	12	week	male	cell line	#FF720C	Primary Cell	ENCODE (New)	ENCDO001AAA	AG04449
BSS00062	Stromal	AG04450	Lung	LUNG FIBROBLAST			embryonic	12	week	male	cell line	#FF720C	Primary Cell	ENCODE (New)	ENCDO001AAA	AG04450
BSS00063	Stromal	AG08395		SKIN FIBROBLAST			adult	85	year	female	cell line	#FF720C	Primary Cell	ENCODE (New)	ENCDO016AAA	AG08395
BSS00064	Stromal	AG08396	Lung	LUNG FIBROBLAST			adult	85	year	female	cell line	#FF720C	Primary Cell	ENCODE (New)	ENCDO016AAA	AG08396
BSS00066	Stromal	AG09309		SKIN FIBROBLAST			adult	21	year	female	cell line	#FF720C	Primary Cell	ENCODE (New)	ENCDO002AAA	AG09309
BSS00067	Stromal	AG09319	Other	GINGIVAL FIBROBLAST			adult	24	year	female	cell line	#FF720C	Primary Cell	ENCODE (New)	ENCDO373ZSZ	AG09319
BSS00068	Stromal	AG10803		SKIN FIBROBLAST			adult	22	year	male	cell line	#FF720C	Primary Cell	ENCODE (New)	ENCDO442SWC	AG10803
BSS00069	Stromal	AG20443		SKIN FIBROBLAST			adult	71	year	male	cell line	#FF720C	Primary Cell	ENCODE (New)	ENCDO184AAA	AG20443
BSS00071	Brain	Ammon_s_horn_male_adult_(84_years)		AMMONS HORN			adult	84	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO240JUB	Ammon's horn male adult (84 years)
BSS00074	Placenta & EEM	amnion_male_embryo_(16_weeks)		AMNION			embryonic	16	week	male	tissue	#E10000	Tissue	Roadmap 2015	ENCDO150YZC	amnion male embryo (16 weeks)
BSS00075	Epithelial	amniotic_epithelial_cell	Placenta & EEM	AMNION EPITHELIAL CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#FF9D0C	Primary Cell	ENCODE (New)	ENCDO102AAA	amniotic epithelial cell
BSS00076	Placenta & EEM	amniotic_stem_cell		AMNION STEM CELL			embryonic	15	week	male	primary cell	#E10000	Tissue	ENCODE (New)	ENCDO942PSS	amniotic stem cell
BSS00077	Brain	angular_gyrus_female_adult_(75_years)		ANGULAR GYRUS			adult	75	year	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO871IWW	angular gyrus female adult (75 years)
BSS00078	Brain	angular_gyrus_male_adult_(81_year)		ANGULAR GYRUS			adult	81	year	male	tissue	#C5912B	Neural	Roadmap 2015	ENCDO980BZD	angular gyrus male adult (81 year)
BSS00079	Heart	aorta_female_adult_(30_years)		AORTA			adult	30	year	female	tissue	#D56F80	Tissue	Roadmap (New)	ENCDO424HVB	aorta female adult (30 years)
BSS00080	Heart	aorta_male_adult_(34_years)		AORTA			adult	34	year	male	tissue	#D56F80	Tissue	Roadmap 2015	ENCDO058AAA	aorta male adult (34 years)
BSS00084	Bone	arm_bone_male_embryo_(81_day)		BONE ARM			embryonic	81	day	male	tissue	#6FB7EB	Tissue	ENCODE (New)	ENCDO184UZW	arm bone male embryo (81 day)
BSS00087	Heart	ascending_aorta_female_adult_(51_year)		ASCENDING AORTA			adult	51	year	female	tissue	#D56F80	Tissue	ENCODE (New)	ENCDO271OUW	ascending aorta female adult (51 year)
BSS00088	Heart	ascending_aorta_female_adult_(53_years)		ASCENDING AORTA			adult	53	year	female	tissue	#D56F80	Tissue	ENCODE (New)	ENCDO793LXB	ascending aorta female adult (53 years)
BSS00089	Brain	astrocyte		ASTROCYTE			unknown/mixed	unknown		unknown/mixed	primary cell	#C5912B	Neural	ENCODE 2012	ENCDO916IIE	astrocyte
BSS00090	Brain	astrocyte_of_the_cerebellum		ASTROCYTE CEREBELLUM			unknown/mixed	unknown		unknown/mixed	primary cell	#C5912B	Neural	ENCODE (New)	ENCDO227AAA	astrocyte of the cerebellum
BSS00091	Brain	astrocyte_of_the_hippocampus		ASTROCYTE HIPPOCAMPUS			unknown/mixed	unknown		unknown/mixed	primary cell	#C5912B	Neural	ENCODE (New)	ENCDO223AAA	astrocyte of the hippocampus
BSS00092	Brain	astrocyte_of_the_spinal_cord		ASTROCYTE SPINAL CORD			unknown/mixed	unknown		unknown/mixed	primary cell	#C5912B	Neural	ENCODE (New)	ENCDO224AAA	astrocyte of the spinal cord
BSS00093	HSC & B-cell	B_cell		B CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#55A354	Immune	Roadmap 2015	ENCDO135ZPY,ENCDO185JIR,ENCDO363GCG,ENCDO375CKP,ENCDO954BOU	B cell
BSS00095	HSC & B-cell	B_cell_female_adult_(27_years)		B CELL			adult	27	year	female	primary cell	#55A354	Immune	ENCODE (New)	ENCDO115AAA	B cell female adult (27 years)
BSS00096	HSC & B-cell	B_cell_female_adult_(27_years)_and_female_adult_(43_years)		B CELL			adult	27,43	year	female	primary cell	#55A354	Immune	ENCODE (New)	ENCDO114AAA,ENCDO115AAA	B cell female adult (27 years) and female adult (43 years)
BSS00097	HSC & B-cell	B_cell_female_adult_(34_years)		B CELL			adult	34	year	female	primary cell	#55A354	Immune	Roadmap (New)	ENCDO579CCQ	B cell female adult (34 years)
BSS00098	HSC & B-cell	B_cell_female_adult_(43_years)		B CELL			adult	43	year	female	primary cell	#55A354	Immune	ENCODE (New)	ENCDO114AAA	B cell female adult (43 years)
BSS00100	HSC & B-cell	B_cell_male_adult_(21_year)		B CELL			adult	21	year	male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO190HXC	B cell male adult (21 year)
BSS00101	HSC & B-cell	B_cell_male_adult_(37_years)		B CELL			adult	37	year	male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO028NGF	B cell male adult (37 years)
BSS00102	Cancer	BE2C	Brain	NEUROBLASTOMA			child	2	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO000ACQ	BE2C
BSS00112	ES-deriv	bipolar_neuron_originated_from_GM23338_treated_with_0.5_mg_mL_doxycycline_hyclate_for_4_days	Brain	BIPOLAR NEURON DERIV	bipolar_neuron_originated_from_GM23338	0.5_mg_mL_doxycycline_hyclate_for_4_days	adult	53	year	male	in vitro differentiated cells	#4178AE	Stem-like	ENCODE (New)	ENCDO336AAA	bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days
BSS00113	Stromal	BJ		SKIN FIBROBLAST			newborn	unknown		male	cell line	#FF720C	Primary Cell	ENCODE (New)	ENCDO000AAG	BJ
BSS00121	Pancreas	body_of_pancreas_female_adult_(51_year)		BODY OF PANCREAS			adult	51	year	female	tissue	#87A3E1	Tissue	ENCODE (New)	ENCDO271OUW	body of pancreas female adult (51 year)
BSS00122	Pancreas	body_of_pancreas_female_adult_(53_years)		BODY OF PANCREAS			adult	53	year	female	tissue	#87A3E1	Tissue	ENCODE (New)	ENCDO793LXB	body of pancreas female adult (53 years)
BSS00123	Pancreas	body_of_pancreas_male_adult_(37_years)		BODY OF PANCREAS			adult	37	year	male	tissue	#87A3E1	Tissue	ENCODE (New)	ENCDO845WKR	body of pancreas male adult (37 years)
BSS00124	Pancreas	body_of_pancreas_male_adult_(54_years)		BODY OF PANCREAS			adult	54	year	male	tissue	#87A3E1	Tissue	ENCODE (New)	ENCDO451RUA	body of pancreas male adult (54 years)
BSS00125	Brain	brain_embryo_(112_days)		BRAIN			embryonic	112	day	unknown/mixed	tissue	#C5912B	Neural	Roadmap (New)	ENCDO307OVZ	brain embryo (112 days)
BSS00126	Brain	brain_embryo_(56_days)_and_male_embryo_(58_days)		BRAIN			embryonic	58,56	day	unknown/mixed	tissue	#C5912B	Neural	ENCODE (New)	ENCDO652XOU,ENCDO708OLI	brain embryo (56 days) and male embryo (58 days)
BSS00127	Brain	brain_embryo_(80_days)		BRAIN			embryonic	80	day	unknown/mixed	tissue	#C5912B	Neural	ENCODE (New)	ENCDO662IIE	brain embryo (80 days)
BSS00129	Brain	brain_female_embryo_(105_days)		BRAIN			embryonic	105	day	female	tissue	#C5912B	Neural	Roadmap (New)	ENCDO863KZW	brain female embryo (105 days)
BSS00130	Brain	brain_female_embryo_(109_days)		BRAIN			embryonic	109	day	female	tissue	#C5912B	Neural	Roadmap (New)	ENCDO879HSH	brain female embryo (109 days)
BSS00131	Brain	brain_female_embryo_(117_days)		BRAIN			embryonic	117	day	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO642MOA	brain female embryo (117 days)
BSS00132	Brain	brain_female_embryo_(120_days)		BRAIN			embryonic	120	day	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO670CKN	brain female embryo (120 days)
BSS00133	Brain	brain_female_embryo_(142_days)		BRAIN			embryonic	142	day	female	tissue	#C5912B	Neural	Roadmap (New)	ENCDO175TGB	brain female embryo (142 days)
BSS00134	Brain	brain_female_embryo_(17_weeks)		BRAIN			embryonic	17	week	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO030VWZ,ENCDO981EWY	brain female embryo (17 weeks)
BSS00135	Brain	brain_female_embryo_(85_days)		BRAIN			embryonic	85	day	female	tissue	#C5912B	Neural	Roadmap (New)	ENCDO316SVQ	brain female embryo (85 days)
BSS00136	Brain	brain_female_embryo_(96_days)		BRAIN			embryonic	96	day	female	tissue	#C5912B	Neural	Roadmap (New)	ENCDO370HUJ	brain female embryo (96 days)
BSS00138	Brain	brain_male_embryo_(101_day)		BRAIN			embryonic	101	day	male	tissue	#C5912B	Neural	Roadmap (New)	ENCDO148CGW	brain male embryo (101 day)
BSS00139	Brain	brain_male_embryo_(104_days)		BRAIN			embryonic	104	day	male	tissue	#C5912B	Neural	Roadmap (New)	ENCDO024JHT	brain male embryo (104 days)
BSS00140	Brain	brain_male_embryo_(105_days)		BRAIN			embryonic	105	day	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO908MUY	brain male embryo (105 days)
BSS00141	Brain	brain_male_embryo_(122_days)		BRAIN			embryonic	122	day	male	tissue	#C5912B	Neural	Roadmap 2015	ENCDO762SKK	brain male embryo (122 days)
BSS00142	Brain	brain_male_embryo_(72_days)_and_male_embryo_(76_days)		BRAIN			embryonic	72,76	day	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO300THQ,ENCDO647EYG	brain male embryo (72 days) and male embryo (76 days)
BSS00143	Endothelial	brain_microvascular_endothelial_cell	Brain	BRAIN MICROVASCULAR ENDOTHELIAL CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#FFCA0C	Primary Cell	ENCODE (New)	ENCDO227AAA	brain microvascular endothelial cell
BSS00144	Stromal	brain_pericyte	Brain	PERICYTE			unknown/mixed	unknown		unknown/mixed	primary cell	#FF720C	Primary Cell	ENCODE (New)	ENCDO228AAA	brain pericyte
BSS00145	Other	breast_epithelium_female_adult_(51_year)		BREAST EPITHELIUM			adult	51	year	female	tissue	#999999	Other	ENCODE (New)	ENCDO271OUW	breast epithelium female adult (51 year)
BSS00146	Other	breast_epithelium_female_adult_(53_years)		BREAST EPITHELIUM			adult	53	year	female	tissue	#999999	Other	ENCODE (New)	ENCDO793LXB	breast epithelium female adult (53 years)
BSS00148	Other	breast_epithelium_male_adult_(54_years)		BREAST EPITHELIUM			adult	54	year	male	tissue	#999999	Other	ENCODE (New)	ENCDO451RUA	breast epithelium male adult (54 years)
BSS00150	Epithelial	bronchial_epithelial_cell	Lung	BRONCHIAL EPITHELIAL CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#FF9D0C	Primary Cell	ENCODE (New)	ENCDO106AAA	bronchial epithelial cell
